SUBJ_COU_NBR
ELE 611
GWS 610
GWS 640
GWS 540
GWS 511
GWS 600
GWS 630
HP 147
PSYC 720
EDLD 665
EDLD 698
ENGR 343
ENGR 335
ENGR 432
ENGR 450
SPED 410
SPED 411
SPED 412
BIOL 499
BIOL 306
CIS 662
ELE 499
HP 302
ART 270
CIS 583
CIS 582
BIOL 574
BIOL 579
HLTH 475
MATH 517
MATH 641
MATH 618
MATH 692
COMM 242
HUM 156
CIS 560
CDIS 695
CDIS 615
CDIS 619
CDIS 621
CDIS 688
CDIS 689
CDIS 617
CDIS 616
CDIS 613
CDIS 614
ENGR 453
ENGR 344
NURS 497
THEA 412
THEA 285W
DANC 123
MUSP 131
THEA 418
THEA 435
THEA 482
THEA 260
THEA 414
GEOL 107
SOC 417
COMM 445
IDST 496
FCS 414W
CJ 309
ETHN 610
SOC 517
PHIL 475
PHIL 477
GWS 411
ENG 492
SCAN 251W
COMM 464
SCAN 150W
SCAN 460
ENGR 454
HP 150
ART 392
ART 404
ART 499
ART 468
ART 420
MACC 660
MBA 645
MACC 655
SPED 490
SPED 427
SPED 425
SPED 321
SPED 322
SPED 324
SPED 426
SPED 685
SPED 644
SPED 600
SPED 686
GEOL 201
GEOL 330
COMM 314
HP 155
KSP 665
SOC 608
SOC 600
SOC 604
SOC 605
HP 363
CDIS 410
AOS 380W
COMM 405
COMM 419
COMM 315
SOST 200
KSP 202
HP 114
FINA 461
FINA 480
FINA 460
FINA 375
FINA 400
FINA 467
FINA 493
AOS 430
HIST 246W
NURS 284
FCS 101
HP 340
ME 203
ME 281
ENG 634
MATH 170
EE 677
EE 612
EE 699
EET 223
EE 235
EE 234
THEA 311
DANC 127
THEA 295
DANC 223
DANC 227
KSP 334
POL 424
POL 414
ELE 605
ELE 616
ELE 630
ELE 628
PSYC 610
PSYC 619
PSYC 605
PSYC 643
PSYC 621
PSYC 623
PSYC 633
PSYC 662
PSYC 663
MACC 620
MACC 625
PSYC 202
CSP 618
CSP 658
THEA 611
THEA 670
THEA 606
THEA 560
THEA 675
THEA 602
THEA 648
THEA 677
THEA 681
NPL 473
PSYC 701
PSYC 705
PSYC 725
PSYC 689
PSYC 710
PSYC 702
SPED 610
AIS 130
HUM 250W
AST 115W
GEOG 574
GEOG 671
GEOG 670
GEOG 573
SPED 622
CDIS 434
CDIS 431
SPED 511
SPED 513
AE 160
CSP 620
ENG 589
SOWK 410
SOWK 441
SOWK 485
ENGR 355
DAK 102
MRKT 317
MRKT 341
BIOL 424
ENG 484
FCS 677
AET 261
DANC 320
DANC 428
THEA 262
DANC 120W
DANC 228
MET 407
CIS 497
ISAT 302
CJ 334
CJ 331
HIST 171W
HIST 302
THEA 621
THEA 612
THEA 617
THEA 510
THEA 514
HP 615
HP 602
HP 601
BIOL 533
HP 645
HP 609
HP 626
HP 689
ECON 462W
MATH 417
MATH 290
MATH 447
MUSC 116
CDIS 696
MUSC 318
MUSC 303
MUSC 316
MUSC 302W
IEP 042
IEP 044
IEP 040
IEP 041
FREN 302W
FREN 301
FREN 414
SOWK 419
BIOL 532
NURS 683
HUM 282W
SOST 485
ADT 500
ADT 505
DHYG 460
ADT 510
ADT 515
ADT 525
ADT 520
COMM 602
COMM 603
COMM 612
COMM 519
ENG 606
GWS 697
BIOL 398
SCAN 101
SCAN 102
THEA 622
CIS 350
MET 426
ECON 416
SOC 582
SOC 546
PSYC 421
AT 606
AT 607
AT 610
AT 671
AT 612
AT 608
AT 620
AT 614
AT 622
AT 624
AT 672
ENGR 331
HP 605
EE 282
DANC 322
CW 546
CW 641
CW 649
CW 446
SOWK 650
SOWK 653
SOWK 661
SOWK 663
SOWK 651
SOWK 660
SOWK 665
SOWK 655
CW 549
PSYC 566
THEA 270
THEA 485W
THEA 440
THEA 304
THEA 470
MFE 104
FREN 404
FINA 462
SPED 448W
FCS 202
FCS 488
HP 176
ENGR 460
GEOL 291
EET 113
MGMT 441
HUM 101W
ENG 526
ENG 648
ENG 503
HONR 230
GER 460
CIS 699
CIS 630
ENGR 462
ENGR 456
ETHN 150
HIST 543
GWS 555
HIST 537
ECON 301
HLTH 212
ED 101
ENG 583
STAT 556
STAT 653
DANC 120
COMM 370
ENG 592
ENG 501
THEA 417
THEA 490
THEA 410
THEA 302
CIS 501
CIS 544
HP 170
MUSP 139
CHEM 190
STAT 555
POL 321
ENGR 459
ENG 584
FCS 270
THEA 471
THEA 309
GER 150W
BIOL 320
DANC 128
ART 225
HP 570
GEOG 582
GEOG 677
GEOG 610
GEOG 673
CAHN 101W
GWS 220W
EE 497
EE 241
CW 470
ME 321
ME 417
ME 329
ME 324
CJ 430W
CJ 371
CJ 333
NURS 602
NURS 633
NURS 601
NURS 604
NURS 554
NURS 553
NURS 635
EDLD 759
EDLD 782
EDLD 734
EDLD 798
EDLD 792
EDLD 735
EDLD 751
MATH 354
URBS 604
URBS 538
STAT 551
BLAW 450
EET 141
EET 114
MUSP 108
ART 377
THEA 487W
EE 281
PHYS 233
PHYS 223
PSYC 555
ELE 664
ELE 665
ELE 662
ELE 663
ELE 672
ELE 673
ELE 671
ELE 681
ELE 682
ELE 695
MACC 645
MACC 615
PSYC 413
GEOG 401
GEOL 310
GEOG 483
GEOG 474
GEOG 473
ENGR 350
ENG 612
ENG 654
PHIL 205W
EDLD 679
EDLD 682
HP 698
CHEM 360
BIOL 474
NURS 684
HLTH 455
ENG 536
HLTH 465
ENG 212W
SPED 405
MACC 650
MACC 680
MUSP 161
MUSP 121
BIOL 438
MATH 560
DHYG 225
DAK 201
DAK 202
CSP 471
HLTH 406
COMM 465
SPED 655
GEOL 104
MBA 630
ENGR 479
FILM 342
DHYG 453
FCS 340
FCS 375
FCS 440
FCS 483
HLTH 477
FCS 380
FCS 376
SOC 301W
KSP 635
KSP 606
HP 315W
HP 439
HP 477
CHEM 398
HP 181
FILM 472
FILM 210W
AIS 360
ANTH 420
PSYC 410
FCS 120
PSYC 401
WLC 280W
IBUS 469
AVIA 432
MSL 301
CJ 441
MSL 302
MACC 665
ANTH 592
ANTH 586
ANTH 697
ENGR 312W
ENGR 302
CJ 422
CJ 323
CJ 485
SPAN 350
SPAN 402
HP 317
CIS 360
THEA 518
ENG 667
ENG 575
ART 421
AIS 330
MRKT 460
MBA 657
MBA 695
MBA 697
HLTH 360
HLTH 460
POL 451
CJ 475
COMM 340
SPED 677
SPED 627
ELE 661
HP 497
AVIA 306
HP 310
AET 160
ENGR 455
ENGR 451
CHEM 325
CHEM 281
CHEM 475
CHEM 498
MUSP 331
CIVE 446
CIVE 401W
CIVE 435
CIVE 452
CIVE 465
CIVE 380
CIVE 436
CIVE 478W
CIVE 402W
CIVE 481
GEOG 480
GEOG 440
GEOG 439
KSP 644
KSP 609
SOC 425
DANC 226
DANC 129
HP 153
BIOL 300
BIOL 404
ENG 477W
ENG 572
ENG 569
GEOG 105
PSYC 291
MSL 202
HP 496
MRKT 420
MBA 667
THEA 272
HP 157
SOC 325
SOC 490
HUM 281W
POL 436
GWS 310
GWS 340
GWS 330
MUSP 126
NURS 686
COMM 415
COMM 326
DANC 324
NURS 644
NURS 670
COMM 474
CSP 473
PHIL 122W
GER 340
AVIA 251
CONS 110
EE 341
EE 336
EE 368
ME 299
EE 358
ART 467
EE 337
ME 291
RPLS 376
RPLS 373
RPLS 393W
RPLS 481
RPLS 377
RPLS 450
RPLS 478
RPLS 483
RPLS 493
THEA 308
THEA 455
ENG 385
IEP 043
CM 220
POL 420
CIS 650
FCS 479
PSYC 363
AVIA 497
AVIA 343
MUSP 186
CIVE 235
CIVE 360
CW 342
ART 285
HIST 260W
MGMT 492
GEOG 578
GEOG 698
KSP 684
COMM 515
MUSC 114
MUSC 121
MUSC 129
MUSP 178
COMM 444
MUSP 379
CIVE 321
CIVE 340
CIVE 448
CIVE 350
THEA 275
RPLS 451
RPLS 499
RPLS 476
EE 363
EE 350
EE 353
DANC 427
PHYS 547
PHYS 650
PHYS 548
PHYS 660
PHYS 695
CIS 690
CIS 631
CIS 651
GEOL 320W
BIOL 605
BIOL 512
HP 161
BIOL 403
ENG 681
ENG 571
HIST 155
CIVE 370W
STAT 457
MATH 460
MATH 461
STAT 356
STAT 450
FCS 474
IEP 022
IEP 023
IEP 020
IEP 024
IEP 021
FINA 498
KSP 600
KSP 669
SOST 450
KSP 607
FCS 284
ME 306
ME 341
ME 344
ME 336
ME 333
CIS 677
NPL 586
NPL 673
SOC 566
SOC 677
ELE 644
ELE 610
ELE 646
ELE 694
ENG 689
ENG 697
ANTH 438W
CM 330
CM 380
HIST 538
HIST 546
HIST 535
HIST 640
SPAN 631
SPAN 655
SPAN 601
SPAN 641
SPAN 654
SPAN 634
EDLD 670
ART 340
ENG 629
ENG 677
ETHN 450
HIST 442
ETHN 380
ETHN 400
ETHN 402W
SOWK 415
NURS 688
ART 424
ART 495
ART 385
ART 440
HP 332
HP 426
HP 430
HP 425
HP 388
HP 334
HP 427
HP 428
HP 449
HP 450
COMM 613
COMM 673
COMM 606
COMM 545
COMM 650
COMM 699
SOC 505
FCS 538
CIVE 499
CIVE 432
MRKT 424
ENGR 442
KSP 674
KSP 660
RPLS 479
RPLS 475
RPLS 350
ENVR 440
BIOL 446
COMM 375
BIOL 490
CHEM 316
CHEM 460
CHEM 465
CHEM 481W
CHEM 461
CHEM 489
CHEM 466
ECON 472
ENG 317
BIOL 380
BIOL 417
CJ 232
DHYG 313
DHYG 334
DHYG 327
DHYG 321
DHYG 311
DHYG 322
DHYG 427
DHYG 326
DHYG 328
DHYG 329
DHYG 331
DHYG 332
DHYG 420
MACC 654
AOS 499
FCS 473
HIST 431
ANTH 300
HIST 445
HIST 391
HIST 495W
MGMT 490
DANC 321
DANC 225
DANC 484W
DANC 329
DANC 328
DANC 421
DANC 430
ELE 467
ENGR 276
ENGR 464
BIOL 324
HLTH 407
HLTH 469
CSP 470
HLTH 408W
HLTH 456
HLTH 497
POL 491
NURS 490
MBA 696
URBS 561
EDLD 651
EDLD 647
EDLD 650
EDLD 695
EDLD 644
SOC 285
HIST 402
HIST 446
POL 422
POL 454
POL 474
POL 311
POL 437
PSYC 490
IPO 101
NURS 499
THEA 426
THEA 475
THEA 400
THEA 476
SOC 446
URBS 461
SOC 463
URBS 471
URBS 438
ANTH 240
FILM 317
SPED 499
CIS 393
IBUS 448
BIOL 453
BIOL 497
BIOL 479
MGMT 445
IDST 499
COMM 494
CDIS 444
ENG 624
MGMT 499
PSYC 409
CDIS 401
HP 464
KSP 667
MSL 366
MSL 401
